curve_id,category,source,size_bin,algorithm,compression_target,original_vertices,simplified_vertices,achieved_compression,max_perp_error,hausdorff,runtime_ms
OVERPASS_LARGE_A,Mechanical,overpass_tiles,large,DP,0.7,384507,2369,0.703875,0.06451197275204605,0.10989294296418811,790.5293959775008
OVERPASS_LARGE_A,Mechanical,overpass_tiles,large,VW,0.7,384507,2401,0.699875,0.06825863659247457,0.10297002867339354,105.18469999078661
OVERPASS_LARGE_A,Mechanical,overpass_tiles,large,DP,0.9,384507,804,0.8995,0.03146872065242483,0.110620379067334,690.5586969805881
OVERPASS_LARGE_A,Mechanical,overpass_tiles,large,VW,0.9,384507,800,0.9,0.06683932919813179,0.10163357620639023,102.59049996966496
OVERPASS_LARGE_B,Mechanical,overpass_tiles,large,DP,0.7,384497,2367,0.704125,0.04231878967122067,0.11395075354774949,745.1431180234067
OVERPASS_LARGE_B,Mechanical,overpass_tiles,large,VW,0.7,384497,2401,0.699875,0.04317265353311353,0.13928066745076267,93.63520296756178
OVERPASS_LARGE_B,Mechanical,overpass_tiles,large,DP,0.9,384497,826,0.89675,0.04317265353311353,0.13928066745076267,677.9571159859188
OVERPASS_LARGE_B,Mechanical,overpass_tiles,large,VW,0.9,384497,800,0.9,0.0520737409641395,0.13928066745076267,95.56890302337706
CA_ORGANIC_LARGE_AGG,Organic,California_Counties_68233851330457591.geojson,large,DP,0.7,292301,279,0.965125,24548.504958558893,108996.33458614335,405.33690998563543
CA_ORGANIC_LARGE_AGG,Organic,California_Counties_68233851330457591.geojson,large,VW,0.7,292301,2401,0.699875,48491.43393113991,69404.73770707476,93.79910299321637
CA_ORGANIC_LARGE_AGG,Organic,California_Counties_68233851330457591.geojson,large,DP,0.9,292301,279,0.965125,24548.504958558893,108996.33458614335,432.6468509971164
CA_ORGANIC_LARGE_AGG,Organic,California_Counties_68233851330457591.geojson,large,VW,0.9,292301,800,0.9,5288.892189793236,75865.34724880099,103.53511199355125
