curve_id,category,source,size_bin,algorithm,compression_target,original_vertices,simplified_vertices,achieved_compression,max_perp_error,hausdorff,runtime_ms
Lake,Organic,California_Counties_68233851330457591.geojson,medium,DP,0.7,5178,1554,0.6998841251448435,4884.073941283196,13023.089567048368,1811.1203020089306
Lake,Organic,California_Counties_68233851330457591.geojson,medium,VW,0.7,5178,1554,0.6998841251448435,1757.2588385945946,5194.260006625651,46.86610004864633
Lake,Organic,California_Counties_68233851330457591.geojson,medium,DP,0.9,5178,518,0.8999613750482812,67.25599656073562,7736.831563399999,1614.7118069930002
Lake,Organic,California_Counties_68233851330457591.geojson,medium,VW,0.9,5178,518,0.8999613750482812,204.46994771603045,6788.220098160324,83.35420000366867
Humboldt,Organic,California_Counties_68233851330457591.geojson,medium,DP,0.7,6957,2087,0.7000143740117867,1628.1409988470339,17731.99631608776,2579.154818027746
Humboldt,Organic,California_Counties_68233851330457591.geojson,medium,VW,0.7,6957,2088,0.6998706338939198,221.72314342641238,7070.661090241695,70.62250096350908
Humboldt,Organic,California_Counties_68233851330457591.geojson,medium,DP,0.9,6957,696,0.89995687796464,72.610665809285,50345.80309669673,2270.586017984897
Humboldt,Organic,California_Counties_68233851330457591.geojson,medium,VW,0.9,6957,696,0.89995687796464,504.93227142989724,7555.052051755245,90.13389999745414
Napa,Organic,California_Counties_68233851330457591.geojson,medium,DP,0.7,15520,4657,0.6999355670103093,4005.7637323144013,12985.158006135338,5964.867126953322
Napa,Organic,California_Counties_68233851330457591.geojson,medium,VW,0.7,15520,4657,0.6999355670103093,737.8836707365859,4521.8596351163815,196.62790099391714
Napa,Organic,California_Counties_68233851330457591.geojson,medium,DP,0.9,15520,1552,0.9,337.38332690863825,8278.316137727823,6132.558920013253
Napa,Organic,California_Counties_68233851330457591.geojson,medium,VW,0.9,15520,1552,0.9,223.0605571286173,8278.316137727823,264.725401008036
