curve_id,category,source,size_bin,algorithm,compression_target,original_vertices,simplified_vertices,achieved_compression,max_perp_error,hausdorff,runtime_ms
OVERPASS_LARGE_A,Mechanical,overpass_tiles,large,DP,0.7,384507,108215,0.7185616906844349,0.04864244893361063,0.07657241564015994,38267.08953100024
OVERPASS_LARGE_A,Mechanical,overpass_tiles,large,VW,0.7,384507,115353,0.6999976593404021,0.033426653231042706,0.06371269893396009,3350.6769650266506
OVERPASS_LARGE_A,Mechanical,overpass_tiles,large,DP,0.9,384507,38100,0.9009120770233052,0.03762638046703531,0.06281240184071794,37607.821304001845
OVERPASS_LARGE_A,Mechanical,overpass_tiles,large,VW,0.9,384507,38451,0.8999992197801341,0.047751100322924754,0.0816738500194535,4240.656353009399
OVERPASS_LARGE_B,Mechanical,overpass_tiles,large,DP,0.7,384497,108192,0.718614189447512,0.040033721410828386,0.06051629070960925,40745.442166982684
OVERPASS_LARGE_B,Mechanical,overpass_tiles,large,VW,0.7,384497,115350,0.6999976592795263,0.03619019599286869,0.05152555794942703,3418.37176901754
OVERPASS_LARGE_B,Mechanical,overpass_tiles,large,DP,0.9,384497,38180,0.9007014359019706,0.04253545675080704,0.06170528925465433,40517.900838982314
OVERPASS_LARGE_B,Mechanical,overpass_tiles,large,VW,0.9,384497,38450,0.8999992197598421,0.0469793801576796,0.060122806005713465,4271.571442019194
OVERPASS_MEDIUM_01,Mechanical,overpass_tiles,medium,DP,0.5,14572,2311,0.8414081800713697,0.00010469964163002366,0.010769936165078636,698.9033080171794
OVERPASS_MEDIUM_01,Mechanical,overpass_tiles,medium,VW,0.5,14572,7286,0.5,0.00043644976802273134,0.003138341281627597,61.53440097114071
OVERPASS_MEDIUM_01,Mechanical,overpass_tiles,medium,DP,0.7,14572,2311,0.8414081800713697,0.00010469964163002366,0.010769936165078636,710.2742010029033
OVERPASS_MEDIUM_01,Mechanical,overpass_tiles,medium,VW,0.7,14572,4372,0.6999725500960747,0.0005596620229376925,0.0033023367257147018,82.23030000226572
OVERPASS_MEDIUM_01,Mechanical,overpass_tiles,medium,DP,0.8,14572,2311,0.8414081800713697,0.00010469964163002366,0.010769936165078636,698.0991080054082
OVERPASS_MEDIUM_01,Mechanical,overpass_tiles,medium,VW,0.8,14572,2915,0.799958825144112,0.00043644976802273134,0.0033023367257147018,79.07310099108145
OVERPASS_MEDIUM_01,Mechanical,overpass_tiles,medium,DP,0.9,14572,1424,0.9022783420258029,0.00020897418778147208,0.010769936165078636,687.9463079967536
OVERPASS_MEDIUM_01,Mechanical,overpass_tiles,medium,VW,0.9,14572,1458,0.8999451001921493,0.000808849782109647,0.009977148390186113,85.46260203002021
OVERPASS_MEDIUM_02,Mechanical,overpass_tiles,medium,DP,0.5,14737,2121,0.8560765420370496,0.00010907400834693884,0.0032842445980730763,678.8108929758891
OVERPASS_MEDIUM_02,Mechanical,overpass_tiles,medium,VW,0.5,14737,7369,0.49996607179208796,0.0007070855676693124,0.0032842445980730763,55.132700013928115
OVERPASS_MEDIUM_02,Mechanical,overpass_tiles,medium,DP,0.7,14737,2121,0.8560765420370496,0.00010907400834693884,0.0032842445980730763,655.899770965334
OVERPASS_MEDIUM_02,Mechanical,overpass_tiles,medium,VW,0.7,14737,4422,0.6999389292257583,0.0006093570710176959,0.0032842445980730763,70.55459701223299
OVERPASS_MEDIUM_02,Mechanical,overpass_tiles,medium,DP,0.8,14737,2121,0.8560765420370496,0.00010907400834693884,0.0032842445980730763,681.0448020114563
OVERPASS_MEDIUM_02,Mechanical,overpass_tiles,medium,VW,0.8,14737,2948,0.7999592861505056,0.0007542391729458191,0.0032842445980730763,82.276200002525
OVERPASS_MEDIUM_02,Mechanical,overpass_tiles,medium,DP,0.9,14737,1323,0.9102259618646943,0.00021777122080186072,0.00413638318945384,670.6536999554373
OVERPASS_MEDIUM_02,Mechanical,overpass_tiles,medium,VW,0.9,14737,1474,0.8999796430752528,0.0013491454241081864,0.0032842445980730763,87.67140004783869
OVERPASS_MEDIUM_03,Mechanical,overpass_tiles,medium,DP,0.5,14899,2505,0.8318679105980267,0.00011043775074919115,0.004011569268996435,745.7685000263155
OVERPASS_MEDIUM_03,Mechanical,overpass_tiles,medium,VW,0.5,14899,7450,0.49996644070071816,0.0008370507546603749,0.0028639176594329537,63.5117000201717
OVERPASS_MEDIUM_03,Mechanical,overpass_tiles,medium,DP,0.7,14899,2505,0.8318679105980267,0.00011043775074919115,0.004011569268996435,696.9808009453118
OVERPASS_MEDIUM_03,Mechanical,overpass_tiles,medium,VW,0.7,14899,4470,0.6999798644204309,0.0008434072800265824,0.004011569268996435,74.45640000514686
OVERPASS_MEDIUM_03,Mechanical,overpass_tiles,medium,DP,0.8,14899,2505,0.8318679105980267,0.00011043775074919115,0.004011569268996435,682.9965010401793
OVERPASS_MEDIUM_03,Mechanical,overpass_tiles,medium,VW,0.8,14899,2980,0.7999865762802872,0.0006252549719939314,0.004011569268996435,76.11069997074082
OVERPASS_MEDIUM_03,Mechanical,overpass_tiles,medium,DP,0.9,14899,1579,0.8940197328679778,0.00021921689004403055,0.006043136980900309,720.3350010095164
OVERPASS_MEDIUM_03,Mechanical,overpass_tiles,medium,VW,0.9,14899,1490,0.8999932881401437,0.00108133832832699,0.004804695723976996,83.24419998098165
OVERPASS_MEDIUM_04,Mechanical,overpass_tiles,medium,DP,0.5,14850,2786,0.8123905723905724,0.00010696339767537273,0.00974464187130162,1046.4687019702978
OVERPASS_MEDIUM_04,Mechanical,overpass_tiles,medium,VW,0.5,14850,7425,0.5,0.0008925867265944337,0.009711063373804465,67.05400004284456
OVERPASS_MEDIUM_04,Mechanical,overpass_tiles,medium,DP,0.7,14850,2786,0.8123905723905724,0.00010696339767537273,0.00974464187130162,1061.2210030085407
OVERPASS_MEDIUM_04,Mechanical,overpass_tiles,medium,VW,0.7,14850,4456,0.6999326599326599,0.001058649139232623,0.00974464187130162,97.60320000350475
OVERPASS_MEDIUM_04,Mechanical,overpass_tiles,medium,DP,0.8,14850,2786,0.8123905723905724,0.00010696339767537273,0.00974464187130162,978.5536010167561
OVERPASS_MEDIUM_04,Mechanical,overpass_tiles,medium,VW,0.8,14850,2970,0.8,0.00041370801815363885,0.00974464187130162,102.78260096674785
OVERPASS_MEDIUM_04,Mechanical,overpass_tiles,medium,DP,0.9,14850,1257,0.9153535353535354,0.00031959902280786725,0.00974464187130162,978.2881599967368
OVERPASS_MEDIUM_04,Mechanical,overpass_tiles,medium,VW,0.9,14850,1485,0.9,0.0017984444528545726,0.009711063373804465,107.774596021045
OVERPASS_MEDIUM_05,Mechanical,overpass_tiles,medium,DP,0.5,14996,2731,0.8178847692718059,0.00010495635013152387,0.0052347403154344215,915.8305110177025
OVERPASS_MEDIUM_05,Mechanical,overpass_tiles,medium,VW,0.5,14996,7498,0.5,0.0010269999999934498,0.0052347403154344215,84.84739100094885
OVERPASS_MEDIUM_05,Mechanical,overpass_tiles,medium,DP,0.7,14996,2731,0.8178847692718059,0.00010495635013152387,0.0052347403154344215,875.0832009827718
OVERPASS_MEDIUM_05,Mechanical,overpass_tiles,medium,VW,0.7,14996,4499,0.6999866631101628,0.001010347195814185,0.005115633310751061,89.9959999951534
OVERPASS_MEDIUM_05,Mechanical,overpass_tiles,medium,DP,0.8,14996,2731,0.8178847692718059,0.00010495635013152387,0.0052347403154344215,948.5748250153847
OVERPASS_MEDIUM_05,Mechanical,overpass_tiles,medium,VW,0.8,14996,3000,0.7999466524406509,0.0006484348237795422,0.0052347403154344215,95.06490302737802
OVERPASS_MEDIUM_05,Mechanical,overpass_tiles,medium,DP,0.9,14996,1288,0.9141104294478528,0.00031525322390403066,0.0052347403154344215,935.1813509711064
OVERPASS_MEDIUM_05,Mechanical,overpass_tiles,medium,VW,0.9,14996,1500,0.8999733262203254,0.0008781035024677723,0.0052347403154344215,106.2309059780091
OVERPASS_MEDIUM_06,Mechanical,overpass_tiles,medium,DP,0.5,14823,2848,0.8078661539499427,0.00011493525618615348,0.004913441258416091,1075.1709369942546
OVERPASS_MEDIUM_06,Mechanical,overpass_tiles,medium,VW,0.5,14823,7412,0.49996626863657834,0.0012495896089681417,0.004879933708571844,72.06890202360228
OVERPASS_MEDIUM_06,Mechanical,overpass_tiles,medium,DP,0.7,14823,2848,0.8078661539499427,0.00011493525618615348,0.004913441258416091,1275.8046360104345
OVERPASS_MEDIUM_06,Mechanical,overpass_tiles,medium,VW,0.7,14823,4447,0.6999932537273157,0.001317162499465651,0.0031516549620816455,118.14510100521147
OVERPASS_MEDIUM_06,Mechanical,overpass_tiles,medium,DP,0.8,14823,2848,0.8078661539499427,0.00011493525618615348,0.004913441258416091,1223.2776070013642
