source,feature_id,geom_type,category,vertex_count,size_bin,path_length,bbox_width,bbox_height,sinuosity,turn_mean_abs,turn_std_abs
mechanical_benchmarks,mechanical_benchmarks_0,LineString,Mechanical,347,Small (<500),0.01977025,0.00558224,0.00441564,7.06218480,20.30144764,27.23353975
mechanical_benchmarks,mechanical_benchmarks_1,LineString,Mechanical,24,Small (<500),0.00339291,0.00166227,0.00213576,1.31959223,11.96161420,11.11228607
mechanical_benchmarks,mechanical_benchmarks_2,LineString,Mechanical,57,Small (<500),0.00302881,0.00203652,0.00146858,1.35437774,17.97164046,14.69831193
mechanical_benchmarks,mechanical_benchmarks_3,LineString,Mechanical,619,Uncategorized,0.14922762,0.09106829,0.02397118,1.62585457,26.18534270,21.15496812
mechanical_benchmarks,mechanical_benchmarks_4,LineString,Mechanical,99,Small (<500),0.03584558,0.02918472,0.00607605,1.22736634,10.14058111,11.27551538
mechanical_benchmarks,mechanical_benchmarks_5,LineString,Mechanical,86,Small (<500),0.00318920,0.00240648,0.00142684,1.14433111,6.73971454,3.44655236
mechanical_benchmarks,mechanical_benchmarks_6,LineString,Mechanical,163,Small (<500),0.02346927,0.00909612,0.00564909,13.34167092,13.25991943,16.61181772
mechanical_benchmarks,mechanical_benchmarks_7,LineString,Mechanical,57,Small (<500),0.00489203,0.00359715,0.00259967,1.10225145,19.12442394,18.49401373
mechanical_benchmarks,mechanical_benchmarks_8,LineString,Mechanical,306,Small (<500),0.02004562,0.00551855,0.01165871,1.68222209,16.52655651,15.71577700
mechanical_benchmarks,mechanical_benchmarks_9,LineString,Mechanical,77,Small (<500),0.01800784,0.01307956,0.00867017,1.20837292,10.34633297,28.35834717
mechanical_benchmarks,mechanical_benchmarks_10,LineString,Mechanical,273,Small (<500),0.01431720,0.00642908,0.00600189,1.62972217,13.46369650,12.54174841
mechanical_benchmarks,mechanical_benchmarks_11,LineString,Mechanical,18,Small (<500),0.01165401,0.00600291,0.00720944,1.30268842,25.26340996,19.88264573
mechanical_benchmarks,mechanical_benchmarks_12,LineString,Mechanical,82,Small (<500),0.00960040,0.00214447,0.00317535,3.30867930,23.14967989,30.67321969
mechanical_benchmarks,mechanical_benchmarks_13,LineString,Mechanical,43,Small (<500),0.00372079,0.00259590,0.00217615,1.09842990,17.33518341,14.41051741
mechanical_benchmarks,mechanical_benchmarks_14,LineString,Mechanical,36,Small (<500),0.00588686,0.00479800,0.00248047,1.08990633,13.59681575,11.11040463
mechanical_benchmarks,mechanical_benchmarks_15,LineString,Mechanical,5,Small (<500),0.00312711,0.00302693,0.00043700,1.02249424,19.49291418,7.30548137
mechanical_benchmarks,mechanical_benchmarks_16,LineString,Mechanical,267,Small (<500),0.01651463,0.01134565,0.00311747,1.43038155,12.79945898,16.53595048
mechanical_benchmarks,mechanical_benchmarks_17,LineString,Mechanical,192,Small (<500),0.08751256,0.03262850,0.01738150,3.27724264,56.51190889,39.45733240
mechanical_benchmarks,mechanical_benchmarks_18,LineString,Mechanical,599,Uncategorized,0.03533454,0.00906735,0.00762083,2.98318475,12.46162693,16.30424345
mechanical_benchmarks,mechanical_benchmarks_19,LineString,Mechanical,181,Small (<500),0.01517364,0.00682781,0.00358604,2.20264311,21.18313596,20.27645840
mechanical_benchmarks,mechanical_benchmarks_20,LineString,Mechanical,95,Small (<500),0.01871762,0.01791690,0.00227318,1.03678699,7.47100184,6.37226454
mechanical_benchmarks,mechanical_benchmarks_21,LineString,Mechanical,150,Small (<500),0.04274095,0.01764634,0.02059762,1.98320667,22.84540242,18.59878530
mechanical_benchmarks,mechanical_benchmarks_22,LineString,Mechanical,68,Small (<500),0.01173731,0.00348341,0.00691629,1.52649094,17.58348472,16.32411280
mechanical_benchmarks,mechanical_benchmarks_23,LineString,Mechanical,936,Uncategorized,0.02338693,0.00370627,0.00865698,13.09413291,10.13011190,11.18043447
mechanical_benchmarks,mechanical_benchmarks_24,LineString,Mechanical,11,Small (<500),0.02456969,0.00888000,0.00736000,3.37791682,33.34919726,38.24269576
mechanical_benchmarks,mechanical_benchmarks_25,LineString,Mechanical,76,Small (<500),0.00582827,0.00426598,0.00122198,1.31600420,12.99854694,15.83144212
mechanical_benchmarks,mechanical_benchmarks_26,LineString,Mechanical,7,Small (<500),0.01561815,0.00600780,0.00370289,6.30818054,74.09268043,50.50984896
mechanical_benchmarks,mechanical_benchmarks_27,LineString,Mechanical,16,Small (<500),0.00380313,0.00196430,0.00201734,1.35068828,28.30636727,26.22359983
mechanical_benchmarks,mechanical_benchmarks_28,LineString,Mechanical,55,Small (<500),0.00539939,0.00115512,0.00447998,1.16750299,19.98422424,18.34110056
mechanical_benchmarks,mechanical_benchmarks_29,LineString,Mechanical,186,Small (<500),0.02259004,0.00474324,0.00918024,2.31189206,25.43953147,25.33920744
mechanical_benchmarks,mechanical_benchmarks_30,LineString,Mechanical,205,Small (<500),0.04289737,0.02641192,0.00934313,1.62114318,16.43011501,16.29663456
